
2025/04/09 (05:07:06) | ===> btop++ v.1.4.0
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:19:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:43) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:20:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/28 (23:51:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:20:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:27:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (00:28:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:33:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:45) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (02:58:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:32:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:47:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (03:50:29) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (04:31:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (05:57:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/29 (13:19:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 

2025/04/30 (16:03:07) | ===> btop++ v.1.4.0
2025/04/30 (16:03:07) | INFO: Logger set to INFO
2025/04/30 (16:03:07) | INFO: Running on /dev/pts/0
2025/04/30 (16:03:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/04/30 (16:03:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/30 (16:03:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
